customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3957-SQXML,Female,0,Yes,Yes,34.0,Yes,Yes,fiber,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,month to month,No,Credit card (automatic),24.95,894.3,No
5954-BDFSG,fe male,0,No,No,72.0,Yes,Yes,Fiberoptic,No,No,Yes,Yes,Yes,Yes,2 Year,,Credit card (automatic),107.5,,No
0434-CSFON,fe male,0,n,No,,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,1 year,Yes,Electronic check,100.5,4707.1,No
1215-FIGMP,FEMALE,0,NO,No,60.0,Yes,Yes,dsl,No,Yes,No,No,Yes,No,Month-to-Month,,Bank transfer (automatic),89.9,5450.7,No
0526-SXDJP,Female,0,Yes,No,72.0,No,No phone service,Fiberoptic,Yes,Yes,Yes,No,No,No,1 Year,No,Bank transfer (automatic),42.1,2962,No
0557-ASKVU,Male,0,y,Yes,18.0,Yes,No,dsl,No,No,Yes,Yes,No,No,2 year,,Credit card (automatic),54.4,957.1,No
5698-BQJOH,f,0,Yes,No,9.0,Yes,Yes,Fiberoptic,No,No,No,No,Yes,Yes,month to month,No,Electronic check,94.4,857.25,Yes
5122-CYFXA,f,0,NO,No,,Yes,No,dsl,No,Yes,No,Yes,Yes,Yes,month to month,,Electronic check,75.3,244.1,No
8627-ZYGSZ,Female,0,Yes,No,47.0,Yes,Yes,fiber,No,Yes,No,No,No,No,month to month,Yes,Electronic check,,3650.35,No
3410-YOQBQ,Male,0,y,No,31.0,Yes,No,dsl,No,Yes,Yes,Yes,Yes,Yes,month to month,No,Mailed check,79.2,2497.2,No
3170-NMYVV,Female,0,No,Yes,50.0,Yes,No,fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,month to month,No,Bank transfer (automatic),20.15,930.9,No
7410-OIEDU,Male,0,Yes,No,,Yes,No,dsl,Yes,No,Yes,No,No,No,1 Year,Yes,Mailed check,79.85,887.35,No
2273-QCKXA,fe male,0,No,No,1.0,Yes,No,DSL,No,No,No,Yes,No,No,1 year,No,Mailed check,,49.05,No
0731-EBJQB,FEMALE,0,Yes,Yes,52.0,Yes,No,Dsl,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,Yes,Electronic check,20.4,,No
1891-QRQSA,fe male,1,YES,Yes,64.0,Yes,Yes,Fiberoptic,Yes,No,Yes,Yes,Yes,Yes,2 year,Yes,Bank transfer (automatic),111.6,7099,No
8028-PNXHQ,f,0,y,Yes,62.0,Yes,Yes,fiber,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-Month,Yes,Bank transfer (automatic),,1424.6,No
5630-AHZIL,fe male,0,No,Yes,3.0,Yes,No,Fiberoptic,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank transfer (automatic),64.5,177.4,No
2673-CXQEU,f,1,YES,No,56.0,Yes,Yes,fiber optic,Yes,Yes,Yes,No,Yes,Yes,month to month,No,Electronic check,110.5,6139.5,No
6416-JNVRK,fe male,0,no,No,46.0,Yes,No,Fiberoptic,No,No,No,No,No,Yes,1 year,No,Credit card (automatic),55.65,2688.85,No
5590-ZSKRV,f,0,y,Yes,8.0,Yes,No,dsl,Yes,Yes,No,No,No,No,2 year,No,Mailed check,54.65,482.25,No
0191-ZHSKZ,m,1,n,No,30.0,Yes,No,Dsl,Yes,Yes,No,No,Yes,Yes,One Year,Yes,Electronic check,74.75,,No
3887-PBQAO,Female,0,NO,Yes,45.0,Yes,Yes,Fiber Optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-Month,Yes,Credit card (automatic),25.9,1216.6,No
5919-TMRGD,fe male,0,Yes,Yes,1.0,Yes,No,fiber,No,No,No,No,Yes,No,One Year,,Electronic check,79.35,79.35,Yes
8108-UXRQN,FEMALE,0,no,Yes,11.0,No,No phone service,Fiberoptic,Yes,No,No,No,Yes,Yes,Month-to-Month,No,Electronic check,50.55,565.35,No
9191-MYQKX,Male,0,n,No,7.0,Yes,No,fiber,No,No,Yes,No,No,No,1 Year,Yes,Bank transfer (automatic),75.15,496.9,Yes
9919-YLNNG,fe male,0,n,No,42.0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,1 year,Yes,Bank transfer (automatic),103.8,4327.5,No
0318-ZOPWS,f,0,NO,No,49.0,Yes,No,Fiber Optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,Yes,Bank transfer (automatic),20.15,973.35,No
4445-ZJNMU,Male,0,YES,No,9.0,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,month to month,Yes,Credit card (automatic),99.3,918.75,No
4808-YNLEU,m,0,n,No,35.0,Yes,No,fiber,Yes,No,No,No,Yes,No,2 year,Yes,Bank transfer (automatic),,2215.45,No
1862-QRWPE,Male,0,Yes,Yes,48.0,Yes,No,Fiberoptic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 year,No,Bank transfer (automatic),20.65,1057,No
2796-NNUFI,m,0,no,Yes,46.0,Yes,No,Fiberoptic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,Yes,Mailed check,19.95,927.1,No
3016-KSVCP,m,0,Yes,No,29.0,No,No phone service,Fiberoptic,No,No,No,No,Yes,No,Month-to-Month,No,Mailed check,33.75,1009.25,No
4767-HZZHQ,Male,0,NO,Yes,30.0,Yes,No,fiber optic,No,Yes,Yes,No,No,No,One Year,No,Bank transfer (automatic),82.05,2570.2,No
2424-WVHPL,Female,1,y,No,1.0,Yes,No,dsl,No,No,No,Yes,No,No,1 Year,,Electronic check,74.7,74.7,No
7233-PAHHL,Male,0,No,Yes,66.0,Yes,Yes,Fiberoptic,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed check,84.0,5714.25,No
6067-NGCEU,Female,0,NO,No,65.0,Yes,Yes,Dsl,Yes,Yes,Yes,No,Yes,Yes,Two Year,Yes,Credit card (automatic),111.05,7107,No
9848-JQJTX,fe male,0,y,No,72.0,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Two Year,Yes,Bank transfer (automatic),100.9,7459.05,No
8637-XJIVR,m,0,y,No,12.0,Yes,Yes,dsl,Yes,No,No,No,No,No,month to month,Yes,Electronic check,78.95,927.35,Yes
9803-FTJCG,f,0,NO,Yes,71.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,1 Year,Yes,Credit card (automatic),66.85,4748.7,No
0278-YXOOG,Male,0,no,No,5.0,Yes,No,fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 Year,No,Mailed check,21.05,113.85,Yes
3212-KXOCR,Male,0,n,,52.0,Yes,No,fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,No,Bank transfer (automatic),21.0,1107.2,No
4598-XLKNJ,Female,1,YES,,25.0,Yes,No,dsl,No,Yes,Yes,No,Yes,Yes,2 Year,Yes,Electronic check,98.5,2514.5,Yes
6380-ARCEH,f,0,no,No,1.0,Yes,No,Fiber Optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-Month,No,Mailed check,20.2,20.2,No
3679-XASPY,FEMALE,0,YES,Yes,1.0,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,No,Electronic check,19.45,19.45,No
7123-WQUHX,fe male,0,YES,No,,Yes,Yes,fiber,No,No,Yes,Yes,Yes,No,1 year,No,Bank transfer (automatic),95.0,3605.6,No
5386-THSLQ,fe male,1,NO,No,66.0,No,No phone service,Fiber Optic,No,Yes,Yes,No,Yes,No,Two Year,No,Bank transfer (automatic),45.55,3027.25,No
3192-NQECA,fe male,0,y,No,68.0,Yes,Yes,dsl,No,Yes,Yes,Yes,Yes,Yes,2 Year,Yes,Bank transfer (automatic),110.0,7611.85,Yes
6180-YBIQI,fe male,0,No,No,5.0,No,No phone service,dsl,No,No,No,No,No,No,2 year,No,Mailed check,,100.2,No
6728-DKUCO,Male,0,y,Yes,72.0,Yes,Yes,Dsl,Yes,Yes,No,No,Yes,Yes,month to month,Yes,Electronic check,104.15,7303.05,No
9750-BOOHV,Female,0,n,No,32.0,No,No phone service,fiber optic,Yes,No,No,No,No,No,month to month,No,Mailed check,30.15,927.65,No
8597-CWYHH,Female,0,No,No,43.0,Yes,Yes,Dsl,No,No,No,No,Yes,Yes,One Year,No,Mailed check,94.35,3921.3,No
2848-YXSMW,FEMALE,0,Yes,Yes,72.0,Yes,No,Fiber Optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,No,Credit card (automatic),,1363.25,No
0486-HECZI,Male,0,no,No,55.0,Yes,Yes,fiber optic,Yes,Yes,No,No,Yes,No,One Year,Yes,Electronic check,96.75,5238.9,Yes
4549-ZDQYY,FEMALE,0,YES,No,52.0,Yes,No,Dsl,Yes,No,Yes,Yes,No,No,Month-to-Month,No,Credit card (automatic),57.95,3042.25,No
5712-AHQNN,fe male,0,y,No,43.0,Yes,No,Dsl,No,Yes,Yes,No,Yes,No,One Year,Yes,Electronic check,91.65,3954.1,No
4846-WHAFZ,fe male,1,NO,No,,Yes,Yes,dsl,No,No,No,No,No,No,1 Year,Yes,Electronic check,76.5,2868.15,Yes
5256-SKJGO,FEMALE,0,y,Yes,64.0,No,No phone service,fiber,No,Yes,No,Yes,Yes,Yes,One Year,Yes,Electronic check,54.6,3423.5,No
3071-VBYPO,FEMALE,0,Yes,Yes,3.0,Yes,No,fiber,Yes,Yes,No,No,Yes,No,Two Year,No,Electronic check,89.85,248.4,No
9560-BBZXK,fe male,0,YES,No,,No,No phone service,Dsl,Yes,No,No,No,No,No,Month-to-Month,No,Bank transfer (automatic),31.05,1126.35,No
5299-RULOA,Female,0,No,Yes,10.0,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,2 Year,,Electronic check,100.25,1064.65,Yes
8402-OOOHJ,FEMALE,0,Yes,No,41.0,Yes,No,dsl,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 year,No,Mailed check,20.65,835.15,No
9445-ZUEQE,f,0,no,Yes,27.0,Yes,Yes,fiber optic,No,Yes,No,Yes,No,No,2 year,Yes,Credit card (automatic),85.2,2151.6,No
1091-SOZGA,Male,0,Yes,Yes,56.0,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,1 year,Yes,Credit card (automatic),99.8,,No
2928-HLDBA,Female,0,no,No,6.0,Yes,No,Fiber Optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,month to month,No,Mailed check,20.7,112.75,No
0404-SWRVG,FEMALE,0,y,No,3.0,Yes,Yes,Fiber Optic,No,No,No,No,No,No,One Year,Yes,Electronic check,74.4,229.55,Yes
6497-TILVL,Male,0,Yes,Yes,7.0,Yes,No,dsl,Yes,No,No,No,No,No,One Year,No,Mailed check,50.7,350.35,No
7219-TLZHO,Male,0,NO,Yes,4.0,Yes,No,fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 year,No,Mailed check,20.85,,No
4622-YNKIJ,f,0,no,No,33.0,Yes,No,fiber optic,Yes,No,No,Yes,Yes,No,1 Year,Yes,Electronic check,88.95,3027.65,No
4412-YLTKF,Female,1,n,No,27.0,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,Month-to-Month,Yes,Electronic check,78.05,2135.5,Yes
6734-PSBAW,Male,0,Yes,No,,Yes,Yes,dsl,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 year,Yes,Bank transfer (automatic),23.55,1723.95,No
3930-ZGWVE,FEMALE,0,NO,No,1.0,Yes,No,dsl,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-Month,No,Mailed check,19.75,19.75,No
2639-UGMAZ,f,1,n,No,71.0,No,No phone service,dsl,Yes,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Electronic check,56.45,3985.35,No
2876-GZYZC,f,0,n,No,13.0,Yes,Yes,fiber,No,No,No,No,No,Yes,One Year,Yes,Electronic check,85.95,1215.65,No
6207-WIOLX,Male,0,No,Yes,25.0,No,No phone service,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,2 Year,,Credit card (automatic),58.6,1502.65,Yes
8587-XYZSF,m,0,NO,No,67.0,Yes,No,DSL,No,No,No,Yes,No,No,1 year,No,Bank transfer (automatic),50.55,3260.1,No
3091-FYHKI,f,0,n,No,1.0,No,No phone service,fiber,No,No,No,No,No,Yes,Two Year,Yes,Electronic check,35.45,35.45,Yes
2372-HWUHI,fe male,0,NO,No,2.0,Yes,No,Fiber Optic,No,No,No,No,No,No,Two Year,No,Electronic check,44.35,81.25,Yes
7799-LGRDP,Male,0,No,No,43.0,Yes,Yes,Fiber Optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 year,Yes,Credit card (automatic),25.7,1188.2,No
7850-VWJUU,f,0,NO,No,23.0,Yes,No,Fiberoptic,Yes,No,No,No,No,No,Two Year,Yes,Bank transfer (automatic),75.0,1778.5,No
3774-VBNXY,fe male,0,no,Yes,64.0,Yes,No,fiber,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 Year,No,Mailed check,20.2,1277.75,No
6217-KDYWC,f,0,y,Yes,57.0,Yes,No,Fiber Optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 Year,Yes,Mailed check,19.6,1170.55,No
0390-DCFDQ,FEMALE,1,Yes,No,1.0,Yes,No,fiber,No,No,No,No,No,No,2 year,Yes,Mailed check,70.45,70.45,Yes
3146-MSEGF,fe male,1,y,Yes,72.0,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,Yes,Yes,1 year,Yes,Credit card (automatic),88.05,6425.65,No
4080-OGPJL,m,0,NO,,,Yes,Yes,Fiberoptic,Yes,No,No,Yes,No,Yes,1 Year,No,Electronic check,71.15,563.65,Yes
1095-WGNGG,FEMALE,0,Yes,No,61.0,Yes,Yes,fiber optic,No,Yes,No,No,Yes,Yes,One Year,Yes,Bank transfer (automatic),101.05,5971.25,No
2636-SJDOU,m,0,YES,No,64.0,Yes,Yes,Dsl,Yes,Yes,No,No,No,No,2 Year,Yes,Credit card (automatic),84.3,5289.05,No
1131-QQZEB,Male,1,NO,No,71.0,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 Year,No,Bank transfer (automatic),23.95,1756.2,No
5716-EZXZN,Male,0,YES,Yes,65.0,Yes,Yes,fiber optic,Yes,Yes,No,Yes,Yes,No,Two Year,,Credit card (automatic),99.05,6416.7,No
6837-BJYDQ,FEMALE,0,n,No,3.0,Yes,No,fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-Month,No,Mailed check,19.6,61.35,No
2135-RXIHG,FEMALE,0,no,No,1.0,Yes,No,fiber,No,No,No,No,No,No,1 Year,Yes,Electronic check,45.65,45.65,Yes
6440-DKQGE,fe male,0,n,Yes,30.0,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-Month,No,Credit card (automatic),64.5,1929.95,No
3466-BYAVD,Female,0,no,Yes,15.0,Yes,No,Dsl,No,Yes,Yes,Yes,No,Yes,One Year,Yes,Mailed check,69.5,1071.4,No
3780-YVMFA,fe male,0,y,Yes,8.0,Yes,No,dsl,No,No,No,Yes,Yes,Yes,One Year,Yes,Electronic check,,564.35,No
3874-EQOEP,m,0,n,No,7.0,Yes,Yes,Fiberoptic,No,No,No,No,Yes,Yes,1 year,No,Mailed check,95.0,655.5,Yes
1679-JRFBR,FEMALE,0,Yes,Yes,70.0,Yes,Yes,dsl,Yes,Yes,Yes,No,Yes,Yes,month to month,Yes,Credit card (automatic),108.15,7930.55,No
9073-ZZIAY,Male,0,n,Yes,62.0,Yes,No,fiber,Yes,Yes,Yes,Yes,Yes,Yes,1 Year,No,Electronic check,86.1,5215.25,No
3077-RSNTJ,f,0,no,Yes,6.0,Yes,No,Fiberoptic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 Year,No,Mailed check,19.7,113.5,No
6551-GNYDG,Male,0,n,Yes,14.0,Yes,No,Dsl,No,No,No,No,No,Yes,Two Year,Yes,Bank transfer (automatic),80.9,1152.8,No
9167-APMXZ,FEMALE,0,y,No,22.0,Yes,Yes,fiber,No,No,No,No,Yes,No,month to month,Yes,Bank transfer (automatic),84.15,1821.95,No
2749-CTKAJ,Male,0,n,Yes,22.0,Yes,No,Fiberoptic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,No,Mailed check,20.15,419.9,No
6371-NZYEG,f,0,NO,Yes,16.0,Yes,No,fiber optic,Yes,No,Yes,No,Yes,No,Month-to-Month,No,Mailed check,64.25,1024,No
7554-NEWDD,fe male,0,y,No,10.0,Yes,Yes,Fiberoptic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 Year,No,Bank transfer (automatic),25.7,251.6,No
8992-VONJD,m,0,Yes,Yes,13.0,Yes,No,Fiberoptic,Yes,Yes,No,No,No,No,1 year,Yes,Electronic check,56.0,,No
0867-MKZVY,Male,0,no,No,20.0,Yes,Yes,fiber,Yes,No,No,No,No,No,2 year,No,Electronic check,82.4,1592.35,Yes
4482-EWFMI,fe male,0,No,No,2.0,Yes,No,fiber,No,No,No,No,No,No,One Year,Yes,Electronic check,69.7,135.2,No
4648-YPBTM,Male,0,Yes,No,53.0,Yes,Yes,dsl,No,Yes,Yes,Yes,No,Yes,1 year,Yes,Bank transfer (automatic),73.9,3958.25,No
2907-ILJBN,FEMALE,0,NO,Yes,11.0,Yes,No,fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 Year,No,Mailed check,20.6,233.9,No
6345-FZOQH,fe male,0,YES,No,69.0,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 Year,No,Mailed check,19.9,1363.45,No
